trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.9, 'e': 0.9884702243288492}",20,0,-176.31371280079443,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
77,False,"{'a': 0.9, 'e': 0.9881654168420767}",25,2,-212.01428791862284,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 3}",1
78,False,"{'a': 0.9, 'e': 0.9878566566949545}",20,0,-87.18255729980478,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.9, 'e': 0.9875439451225226}",20,0,-139.0287105937059,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
80,False,"{'a': 0.9, 'e': 0.9872272833756269}",20,0,-220.1845280962776,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
81,False,"{'a': 0.9, 'e': 0.986906672720914}",25,0,-107.33209819319254,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.9865821144408262}",20,0,-98.02057267391332,"{0: 13, 1: 0, 2: 3, 3: 4, 4: 0}",0
83,False,"{'a': 0.9, 'e': 0.986253609833596}",30,0,-113.51446287777785,"{0: 21, 1: 0, 2: 5, 3: 4, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.9859211602132415}",20,0,-79.72688918253229,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.9, 'e': 0.9855847669095608}",25,0,-124.75260828558072,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
86,False,"{'a': 0.9, 'e': 0.9852444312681263}",20,0,-134.41439377324156,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
87,False,"{'a': 0.9, 'e': 0.9849001546502806}",25,0,-145.26657977785524,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
88,False,"{'a': 0.9, 'e': 0.9845519384331295}",25,0,-74.0368284759249,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
89,False,"{'a': 0.9, 'e': 0.9841997840095373}",25,0,-84.50821218135124,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
90,False,"{'a': 0.9, 'e': 0.9838436927881214}",20,0,-117.88307677624965,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
91,False,"{'a': 0.9, 'e': 0.9834836661932461}",20,0,-136.03736535869103,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
92,False,"{'a': 0.9, 'e': 0.9831197056650174}",25,3,-82.27786518694481,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.9827518126592768}",20,16,6.057107174922235,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.9823799886475959}",20,0,-128.0411199208835,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 0}",0
95,False,"{'a': 0.9, 'e': 0.9820042351172703}",20,0,-74.92059931654556,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.9, 'e': 0.9816245535713135}",35,0,-302.97317063774193,"{0: 17, 1: 0, 2: 12, 3: 2, 4: 4}",0
97,False,"{'a': 0.9, 'e': 0.9812409455284513}",20,0,-70.68838955886508,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
98,False,"{'a': 0.9, 'e': 0.9808534125231153}",30,3,-155.42387747824253,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 3}",1
99,False,"{'a': 0.9, 'e': 0.9804619561054371}",20,0,-128.45699385728693,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
100,False,"{'a': 0.9, 'e': 0.9800665778412416}",20,4,-107.21997907431656,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
101,False,"{'a': 0.9, 'e': 0.9796672793120416}",30,0,-137.06544727770665,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
102,False,"{'a': 0.9, 'e': 0.9792640621150305}",20,0,-185.5866704139972,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
103,False,"{'a': 0.9, 'e': 0.9788569278630767}",25,0,-210.7413479944186,"{0: 11, 1: 0, 2: 10, 3: 2, 4: 2}",0
104,False,"{'a': 0.9, 'e': 0.9784458781847165}",30,0,-329.7853021670501,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 6}",0
105,False,"{'a': 0.9, 'e': 0.9780309147241483}",20,0,-78.54567647786094,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.9, 'e': 0.9776120391412251}",30,18,-27.157264154439197,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
107,False,"{'a': 0.9, 'e': 0.9771892531114489}",25,0,-235.46885002419955,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 4}",0
108,False,"{'a': 0.9, 'e': 0.9767625583259631}",20,0,-142.78663858650046,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
109,False,"{'a': 0.9, 'e': 0.9763319564915464}",20,8,-70.66362271879758,"{0: 6, 1: 0, 2: 4, 3: 2, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.9758974493306055}",25,0,-196.91946656326616,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
111,False,"{'a': 0.9, 'e': 0.9754590385811684}",25,0,-142.42828677159966,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
112,False,"{'a': 0.9, 'e': 0.9750167259968777}",35,0,-170.37155899778975,"{0: 22, 1: 0, 2: 9, 3: 3, 4: 1}",0
113,False,"{'a': 0.9, 'e': 0.974570513346983}",25,0,-184.66385613987728,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
114,False,"{'a': 0.9, 'e': 0.9741204024163344}",25,0,-118.21370654935748,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
115,False,"{'a': 0.9, 'e': 0.9736663950053749}",20,0,-49.9330518767551,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
116,False,"{'a': 0.9, 'e': 0.9732084929301336}",25,0,-151.95250396706996,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
117,False,"{'a': 0.9, 'e': 0.9727466980222181}",20,0,-147.26566969352194,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
118,False,"{'a': 0.9, 'e': 0.9722810121288076}",25,0,-137.7464819704159,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
119,False,"{'a': 0.9, 'e': 0.971811437112645}",20,0,-148.63113199221317,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
120,False,"{'a': 0.9, 'e': 0.9713379748520297}",20,0,-144.61116824643437,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
121,False,"{'a': 0.9, 'e': 0.97086062724081}",20,0,-262.56013897162927,"{0: 8, 1: 0, 2: 5, 3: 3, 4: 4}",0
122,False,"{'a': 0.9, 'e': 0.9703793961883759}",20,0,-68.03522112498206,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
123,False,"{'a': 0.9, 'e': 0.9698942836196508}",30,0,-101.12850050084889,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
124,False,"{'a': 0.9, 'e': 0.9694052914750845}",25,0,-211.9249916232414,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
125,False,"{'a': 0.9, 'e': 0.9689124217106447}",25,10,-210.4967505526887,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 4}",1
126,False,"{'a': 0.9, 'e': 0.9684156762978101}",20,0,-182.33188477581982,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
127,False,"{'a': 0.9, 'e': 0.9679150572235615}",25,0,-343.74091676092627,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 7}",0
128,False,"{'a': 0.9, 'e': 0.9674105664903746}",20,0,-142.40732014558827,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
129,False,"{'a': 0.9, 'e': 0.9669022061162116}",25,0,-331.43238409128037,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 6}",0
130,False,"{'a': 0.9, 'e': 0.9663899781345132}",25,0,-82.87748448348151,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
131,False,"{'a': 0.9, 'e': 0.9658738845941909}",20,0,-118.24154580663699,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
132,False,"{'a': 0.9, 'e': 0.965353927559618}",20,0,-160.0421275441237,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
133,False,"{'a': 0.9, 'e': 0.9648301091106221}",30,0,-180.12182311686848,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
134,False,"{'a': 0.9, 'e': 0.9643024313424761}",25,10,-130.90038494769078,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 2}",1
135,False,"{'a': 0.9, 'e': 0.9637708963658905}",25,3,-129.16517404316946,"{0: 13, 1: 0, 2: 5, 3: 3, 4: 1}",1
136,False,"{'a': 0.9, 'e': 0.9632355063070045}",20,0,-146.33465540073325,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
137,False,"{'a': 0.9, 'e': 0.9626962633073776}",25,0,-277.6558636381956,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 5}",0
138,False,"{'a': 0.9, 'e': 0.9621531695239809}",35,0,-195.97121030434468,"{0: 21, 1: 0, 2: 10, 3: 2, 4: 2}",0
139,False,"{'a': 0.9, 'e': 0.9616062271291891}",25,0,-157.14509172203978,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
